Content,Video title,Video publish time,Comments added,Average percentage viewed (%),Likes,Views,Impressions,Impressions click-through rate (%)
U0FsDwngsJA,💻 How To Create A GUI In Python Using Tkinter To Display COVID19 Stats | Step-by-Step Tutorial,18-Jul-20,9,15.38,42,3058,38246,4.66
FOULV9Xij_8,How To Add A Contact Form To Your Streamlit App,18-Sep-21,8,27.62,128,5976,89134,2.48
fcNoNPfBjH0,What is this channel all about...,19-Apr-21,8,58.62,47,8974,43357,1.34
m0UPBRJdsas,Build a Weather App in Excel by using Python,10-Apr-21,8,20.23,87,3197,46454,3.98
pms52_-cmc8,Create A Pandas Dataframe Right Inside Excel,4-Sep-21,8,43.51,124,3001,35641,3.56
5fgje_bPNsQ,How To Create A Bar Race Animation Using Excel And Python | Tutorial [EASY] 💻,26-Sep-20,7,31.09,74,2610,39865,4.4
DlaZe46JSaA,How To Create An Animated Bar Chart (Bar Race) In Python Using Plotly & Excel | Tutorial [EASY] 💻,9-Aug-20,7,21.69,119,5534,79838,4.18
EvvmOVyQaVY,Automate Tinder with EXCEL | Step-By-Step Tutorial,25-Sep-21,7,17.39,45,1343,26336,2.67
0LdLFdzD_Ws,Create A Liquid (Water Polo) Chart From Excel Data in Python | ‘PyeCharts’ Tutorials,8-May-21,6,24.31,70,1538,32561,3.04
HFNkQZ8W_KM,Excel Template To Create Interactive Waterfall Charts | Combines VBA + Python 💻,3-Oct-20,6,16.1,25,806,25739,1.74
HYl-gftg9Rw,How To Save Cookies & Login Data In Selenium VBA (Chrome Webdriver),21-Sep-21,6,81.96,46,2436,325,3.38
InVKYPK73vg,Export a Pandas Dataframe to Excel with Document Properties,1-Aug-22,6,33.42,96,2111,39605,3.66
J-3UBaP2DfM,Save Excel Values From Each Worksheet In A Separate File,22-Jan-22,6,33.93,50,1360,38868,1.9
ZT_hlZLYHyQ,Weighted Average Calculation in Pandas,5-Mar-22,6,42.99,93,1957,53221,2.14
c1zwV8x-zK4,📈 How To Create A Candlestick Chart In Python Using Plotly | Tutorial [EASY],20-Sep-20,6,25.53,92,4666,54793,3.54
8E4se9Ah5o8,MyToolBelt Installation,,5,72.18,22,1309,13,0
TQWwaLqtpq4,How To Create A Waterfall Chart In Python Using Plotly & Excel | Tutorial [EASY] 💻,15-Aug-20,5,25.68,62,2307,48830,2.35
V3Csrk--laM,Create Invoice Filepath,,5,70.11,1,16,5,0
